Category,Question,Response
RBF-VNC - 1,[MTL-P]Unable to open VNC viewer for 68646,"You can try to fix the VNC issue in your host machine as below: 

1. ps -ef | grep vnc ----> to see which VNC services are running.
2. pkill <vnc session id>
3. reboot NUC

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Serial - 1,Collect logs from SUT.,"You may try these to solve serial issue. 
Window NUC
1. Restart NUC
2. Enable/disable the ports in Device Manager
3. Hotplug serial cables 
4. Try other USB port

Linux NUC
1. Restart NUC
2. Perform 
sudo screen -list 
sudo kill <screen session> 
3. Hotplug serial cables 
4. Try other USB port

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
Ending,Thank you for your help!,Thanks for using RBF Chatbot! Have a nice day ! :)
RBF-Silicon Change - 1,[MTL-P]Request to swap C0 Silicone in to cluster (68626 & 68627),"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Peripheral - 3,[RPL-SR] Unable to flash using TTK3 properly.,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 
4. Check TTK3 version. 
5. Check TTK3 configuration 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Silicon Change - 1,Please swap Cluster 68380's 282 silicon Q2SD to 682 silicon Q2MM and change the Silicon details in One Cloud,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Network - 1,check the ssh connection between SUT and HOST,"There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-New setup - 1,Prepare Rack266 Tray1 and Tray2 for 3x new MTL-P at PG14,Kindly file ticket to RBF and clearly mentioned the setup requirement. 
RBF-Debug - 9,Follow up - 68141: IFWI Flashing script not working. Flashing failed.,"There is few possibility causing this issue.
1. Testbed data incorrect. 
2. bootfile details in DDI is incorrect. 
3. Invalid BKM/ ifwi link 
4. Serial cable is not readable. 

Please ensure all the criteria is fullfilled. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  

"
Ending,"Thanks, you've been great!",Thanks for using RBF Chatbot! Have a nice day ! :)
RBF-Serial - 1,68141: Unable to access the KVM and BIOS logs are not updating in the serial port,"You may try these to solve serial issue. 
Window NUC
1. Restart NUC
2. Enable/disable the ports in Device Manager
3. Hotplug serial cables 
4. Try other USB port

Linux NUC
1. Restart NUC
2. Perform 
sudo screen -list 
sudo kill <screen session> 
3. Hotplug serial cables 
4. Try other USB port

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-KVM - 4,Check SMARTKVM connections between SUT and HOST,"Kindly remove and reconnect the SmartKVM in the host machine. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Network - 1,"[PG] 68221 , NUC is not connecting","There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-KVM - 2,KVM not working on cluster ID: 68413,"Kindly ensure that SUT and OS support display functiaonality. 

Else, it might caused by 
1. faulty KVM and CIM connection.
2. Wrong display port.
3. Absent of rework to enable HDMI/DP ports
4. KVM node is not added in OneCloud. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Serial - 1,[HY]66320 [DPMO][HY] BMC comport is not working in Mobaxterm,"You may try these to solve serial issue. 
Window NUC
1. Restart NUC
2. Enable/disable the ports in Device Manager
3. Hotplug serial cables 
4. Try other USB port

Linux NUC
1. Restart NUC
2. Perform 
sudo screen -list 
sudo kill <screen session> 
3. Hotplug serial cables 
4. Try other USB port

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-New setup - 1,Prepare big hyper rack for MTL-PS multi-container setup,Kindly file ticket to RBF and clearly mentioned the setup requirement. 
RBF-BKC update - 3,[Cluster#68363] Need to Flash IFWI on RPL-P manually,"You can flash IFWI to SUT by yourself with the use of TTK3 or dediprog via flash_helper_script. 

Exmaple cmd: 
./flashing_ifwi.sh -os_name ubuntu -flash_type ttk -image_url IOTG_ADL_SR06_C2B1-ADPSXF2_RPSF_SEP5_01580518_2021WW50.5.0_ProdE3032_TSN1G1G_25MHz.bin

powershell -File flashing_ifwi.ps1 -image_url https://af01p-png.devtools.intel.com/artifactory/hspe-iotgfw-adl-png-local/MTL-PS/External/WW39.4'23/RVP_CRB/FabB_IFWI/IOTG_MTL_PR1B_C0NN-XODCA_RPRF_SEP5_01F5049A_2023WW35.3.1_FABB_BE332348.bin -flash_type ttk -os_name ubuntu -enable_pxe_boot

If there is no TTK3 or dediprog, kindly file ticket to RBF for requesting to add IFWI flashing device. 

"
RBF-Silicon Change - 1,[BA] please resit silicon to fix CPU high temp causing hang issue,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Network - 2,I want to flash mac address to the onboard NIC,"To update mac address in SUT, kindly follow the step below: 

1."
RBF-Soft - 1,Need credentials for Cluster 66226 SUT,"For software issue, 

please file a ticket to RBF. "
RBF-Silicon Change - 1,Swap board with 68611 board with 68619,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
Greetings,"Hello, I'm looking for some information.","yes, how may I help you? "
RBF-Peripheral - 2,65511[DPMO] Banino Controller is not working,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Update Babino Driver
4. Check Banino Connection 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-BKC update - 2,[Cluster #68544] Please help to flash Yocto OS on SUT #535425,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash non BKC image, kindly file ticket to RBF for request. "
RBF-Debug - 5,Cannot network boot to uos server ,Kindly ensure that the network connection is connected to NIC and the bootfile details in DDI is correct. Wrong bootfile details might leads to wrong boot destination. 
RBF-Silicon Change - 1,cluster 68639 - please help to swap C0 Si ( QDF = Q21M ) to 597114,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Debug - 12,not valid for built-in network card,"There is few possibility causing this issue.
1. Wrong IFWI used 
2. Faulty onboard NIC 
3. Rework might be required to enabled. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-VNC - 1,[MTL-PS][68671] - Not able to access NUC via Direct VNC link,"You can try to fix the VNC issue in your host machine as below: 

1. ps -ef | grep vnc ----> to see which VNC services are running.
2. pkill <vnc session id>
3. reboot NUC

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Network - 2,my mac address is not updated in SUT ,"To update mac address in SUT, kindly follow the step below: 

1."
RBF-Network - 1,"Cluster 68617,cannot connect to system 499711 through ssh.","There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
Ending,I appreciate your input!,Thanks for using RBF Chatbot! Have a nice day ! :)
RBF-Peripheral - 2,[PG]Banino manager is not connecting for the cluster 68256,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Update Babino Driver
4. Check Banino Connection 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-KVM - 3,why I cannot use my mouse and keyboard in KVM? ,"To resolve this issue, you may try the steps below: 
1. Go to top bar, click ""Input"" drop down list.
2. Select Mouse Mode
3. Click on any mouse mode then revert it to original. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Serial - 1,[PG]bios port not connecting for the cluster 68223,"You may try these to solve serial issue. 
Window NUC
1. Restart NUC
2. Enable/disable the ports in Device Manager
3. Hotplug serial cables 
4. Try other USB port

Linux NUC
1. Restart NUC
2. Perform 
sudo screen -list 
sudo kill <screen session> 
3. Hotplug serial cables 
4. Try other USB port

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Silicon Change - 1,To swap silicon on 4 ADL-N boards and update the cluster to ASL in OneCloud,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Debug - 5,PXE flashing is not booting into uos server,Kindly ensure that the network connection is connected to NIC and the bootfile details in DDI is correct. Wrong bootfile details might leads to wrong boot destination. 
RBF-Peripheral - 1,[HY] USB blaster and BIOS com port are not detecting on 66218 system,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Debug - 1,[ADL][N] Help bring up the setup as it is not working,"There is few possibility which causing board cannot boot up. 
1. Incorrect IFWI
2. Faulty Board 
3. Corrupted drive 
4. PDU Failure 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
Greetings,"Hey, I need help with an issue.","yes, how may I help you? "
RBF-Peripheral - 1,Please check the USB blaster of 68288 & 68292,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-onecloud - 3,Request to add user to OneCloud reservation ,"You may add user your reservation by clicking ""edit reservation""

Please make sure his/her SSID is correct before confirming reservation edit. 

If there is issue to add user, kindly file a ticket to RBF for further troubleshooting. "
Greetings,"Hi there, is this where I can get support?","yes, how may I help you? "
RBF-Debug - 7,2 usb flashing bkm ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Network - 1,"cluster #68498 SUT not able to ssh, please help to check internet connection","There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-VNC - 1,[PG]Vnc is not connecting for the cluster 68259,"You can try to fix the VNC issue in your host machine as below: 

1. ps -ef | grep vnc ----> to see which VNC services are running.
2. pkill <vnc session id>
3. reboot NUC

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-New setup - 1,Setup 3x MTL-P [68686 68687 68688],Kindly file ticket to RBF and clearly mentioned the setup requirement. 
RBF-BKC update - 2,[ADL-S] Please help to flash Ubuntu 22.04 to SUT cluster #68498,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-Silicon Change - 1,Request help to change silicon on RBF RPL-P systems,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Silicon Change - 1,Please help to update silicon ,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-KVM - 2,Not Able to Open KVM of 68641,"Kindly ensure that SUT and OS support display functiaonality. 

Else, it might caused by 
1. faulty KVM and CIM connection.
2. Wrong display port.
3. Absent of rework to enable HDMI/DP ports
4. KVM node is not added in OneCloud. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Network - 1,SUT 68368 in unreachable via network. Please check,"There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-onecloud - 1,[HY] Need to Update silicon swaping details in One cloud for 09-08-23,"To request correcting OneCloud Information or reservation, kindly file ticket to RBF. "
RBF-BKC update - 3,[BA] #65456 flash IFWI(BKC15) and install OS,"You can flash IFWI to SUT by yourself with the use of TTK3 or dediprog via flash_helper_script. 

Exmaple cmd: 
./flashing_ifwi.sh -os_name ubuntu -flash_type ttk -image_url IOTG_ADL_SR06_C2B1-ADPSXF2_RPSF_SEP5_01580518_2021WW50.5.0_ProdE3032_TSN1G1G_25MHz.bin

powershell -File flashing_ifwi.ps1 -image_url https://af01p-png.devtools.intel.com/artifactory/hspe-iotgfw-adl-png-local/MTL-PS/External/WW39.4'23/RVP_CRB/FabB_IFWI/IOTG_MTL_PR1B_C0NN-XODCA_RPRF_SEP5_01F5049A_2023WW35.3.1_FABB_BE332348.bin -flash_type ttk -os_name ubuntu -enable_pxe_boot

If there is no TTK3 or dediprog, kindly file ticket to RBF for requesting to add IFWI flashing device. 

"
RBF-Serial - 1,"Request for serial cable hot plug on 68233 , as logs are not capturing while running the test","You may try these to solve serial issue. 
Window NUC
1. Restart NUC
2. Enable/disable the ports in Device Manager
3. Hotplug serial cables 
4. Try other USB port

Linux NUC
1. Restart NUC
2. Perform 
sudo screen -list 
sudo kill <screen session> 
3. Hotplug serial cables 
4. Try other USB port

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Serial - 1,[PG] bios and bmc ports are not connecting to the cluster 68258,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-KVM - 1,Power on CH KVM and connect to Rack219 KVM for remote display,"To get KVM option in OneCloud, kindly file ticket to RBF for requesting adding KVM option. "
RBF-Network - 1,"Not able to access NUC 68274, NUC is down","There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-KVM - 3,keyboard and mouse is not functioning in KVM,"To resolve this issue, you may try the steps below: 
1. Go to top bar, click ""Input"" drop down list.
2. Select Mouse Mode
3. Click on any mouse mode then revert it to original. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-BKC update - 3,Enable system 68214 with M.2 NVME,"You can flash IFWI to SUT by yourself with the use of TTK3 or dediprog via flash_helper_script. 

Exmaple cmd: 
./flashing_ifwi.sh -os_name ubuntu -flash_type ttk -image_url IOTG_ADL_SR06_C2B1-ADPSXF2_RPSF_SEP5_01580518_2021WW50.5.0_ProdE3032_TSN1G1G_25MHz.bin

powershell -File flashing_ifwi.ps1 -image_url https://af01p-png.devtools.intel.com/artifactory/hspe-iotgfw-adl-png-local/MTL-PS/External/WW39.4'23/RVP_CRB/FabB_IFWI/IOTG_MTL_PR1B_C0NN-XODCA_RPRF_SEP5_01F5049A_2023WW35.3.1_FABB_BE332348.bin -flash_type ttk -os_name ubuntu -enable_pxe_boot

If there is no TTK3 or dediprog, kindly file ticket to RBF for requesting to add IFWI flashing device. 

"
RBF-Silicon Change - 1,[MTL-P]Request help to replace silicon B0 Q16A for cluster 68624,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Network - 3,Register IP and MAC address in DDI,"To register IP for your system,

kindly file a ticket to RBF. "
RBF-Network - 1,68141: Not able to access NUC,"There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Peripheral - 3,[MTL-PS][68671] - TTK not able to detect SUT chip.,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 
4. Check TTK3 version. 
5. Check TTK3 configuration 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Serial - 1,[PG]bmc port is not connecting for the cluster 68262,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Debug - 1,System is not booting to BIOS page for 68236,"There is few possibility which causing board cannot boot up. 
1. Incorrect IFWI
2. Faulty Board 
3. Corrupted drive 
4. PDU Failure 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-New setup - 1,Create cluster ID for new setup MTL [68689 68690 68691 68692],Kindly file ticket to RBF and clearly mentioned the setup requirement. 
RBF-Network - 3,Help to change IP subnet for multiple MTL-PS,"To register IP for your system,

kindly file a ticket to RBF. "
RBF-Peripheral - 2,[PG]banino board is not connecting and usb blaster also not connecting for cluster 68259,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Update Babino Driver
4. Check Banino Connection 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-PDU - 1,Facing No Power switch is connected to SUT @ cluster 68666,"PDU IP might be not accessible or the PDU details in OneCloud is wrong. 

kindly file a ticket to RBF for further troubleshooting.  "
